Model Combination,R² Score,MAE,MSE,RMSE
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912766166486752,3.8901112451801545,35.205756182788285,5.933443872051735
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765541425127,3.8909400838016506,35.206008444625944,5.933465129637651
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765528593485,3.8909617148039155,35.2060136232093,5.933465566025415
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765516399631,3.8908929866735513,35.20601854439444,5.933465980722771
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765500407683,3.8900690748215094,35.206024998411024,5.93346652458839
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765368912178,3.8899302241332685,35.206078067254964,5.933470996579908
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912765187978867,3.889854496141444,35.206151088166216,5.9334771498815275
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912764778258761,3.890753982755335,35.20631644265754,5.933491083894669
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912764761434125,3.890713492680443,35.20632323272983,5.933491656076532
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912764756263022,3.8907844350480665,35.206325319679095,5.9334918319383485
"('Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912764016052167,3.890320301899768,35.20662405334538,5.933517005397842
"('Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912763179235681,3.890115055915208,35.2069617750295,5.9335454641411065
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912761261428056,3.8900395654804605,35.207735762196194,5.933610685088481
"('Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912761142954314,3.8899275638602977,35.20778357572824,5.933614714129006
"('Linear_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912760974229802,3.8898673388962233,35.20785166942278,5.933620452086801
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912760269902239,3.889822535335923,35.20813592134058,5.933644404692665
"('Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912760169544542,3.889725495062453,35.20817642361412,5.93364781762569
"('Linear_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.991276000712348,3.889666986585956,35.20824197336819,5.933653341186035
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755625172129,3.891599128644884,35.21001043755958,5.9338023591588875
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755600073515,3.8915634084873334,35.210020566836725,5.933803212682126
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755589676688,3.8916201793630867,35.21002476277939,5.93380356624479
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755427764148,3.8916942379033843,35.21009010730417,5.9338090723669366
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755398242105,3.891717372733419,35.21010202178537,5.933810076315669
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912755397930035,3.891650089908602,35.21010214773031,5.933810086928155
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912753154759194,3.89071798076574,35.21100744470663,5.933886369379399
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912752991376985,3.8908070895868283,35.211073382358904,5.933891925402661
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912750388183518,3.8904108401162243,35.212123976960164,5.933980449661101
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912750295508029,3.8904915917536425,35.212161378854766,5.933983601161598
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912750258090963,3.8902910461154123,35.21217647960222,5.93398487355691
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912750159376731,3.8903702078292635,35.212216318608135,5.9339882304069445
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912750112211812,3.890245446890464,35.212235353386,5.933989834284012
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.991275001296357,3.8903254397479157,35.212275407906816,5.9339932092905885
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749376562916,3.891183174190005,35.21253224594045,5.934014850498813
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749360056232,3.891151666326685,35.21253890769357,5.9340154118180015
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749348311605,3.8912047923958824,35.212543647580446,5.934015811200746
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749182637252,3.8912975883491674,35.2126105102947,5.934021445048434
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749162289198,3.891257971062898,35.212618722344494,5.934022136994813
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912749159643336,3.891320848270601,35.21261979015971,5.934022226968795
"('Lasso_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912747555190805,3.890482825126971,35.2132673137447,5.9340767869774576
"('Lasso_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912747390509313,3.8905747734489546,35.21333377576059,5.934082387004801
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912745096694188,3.890232382078758,35.21425951171432,5.934160388101616
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.991274499825039,3.8903042697630386,35.214299241578075,5.934163735656278
"('Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912744997867313,3.890131188834299,35.21429939617996,5.934163748682704
"('Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.991274489401678,3.890203753426822,35.214341308089814,5.9341672800899214
"('Linear_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912744867750042,3.890077757220012,35.214351908797504,5.9341681732823774
"('Linear_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912744763168293,3.890150497270337,35.2143941158104,5.934171729551682
"('Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912740604859022,3.8904308874553024,35.21607232272227,5.934313129817323
"('Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912738205190392,3.8901272198804495,35.21704077894258,5.934394727260951
"('XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912735541337656,3.8901512170004415,35.218115854359645,5.934485306609129
"('XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912733163694168,3.889942150500739,35.21907542169174,5.93456615277745
"('Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912730720038192,3.8905319165641923,35.22006163028822,5.934649242397416
"('Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912730487082151,3.8904281394095706,35.22015564648874,5.934657163348928
"('XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.9912725600637274,3.8902621822810044,35.22212771374717,5.934823309395754
"('XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM', 'MLP_Regressor')",0.991272537814085,3.8901829939964943,35.22221750866481,5.9348308744786324
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912573078805255,3.898042197749723,35.283682344724674,5.940006931370087
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912572337580492,3.8980526055880613,35.28398148758252,5.940032111662573
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912572120049633,3.8979636423109634,35.28406927850112,5.94003950142599
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912571935023349,3.8977794607841787,35.28414395125128,5.940045786965896
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912570552274445,3.8973633133977663,35.2847019998757,5.940092760208017
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912569300774912,3.897228080802459,35.2852070789908,5.940135274468991
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912568592661207,3.8971942845684704,35.285492858915774,5.94015932942171
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912563058877534,3.8975058148022446,35.28772617861476,5.940347311278589
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912562253159667,3.897518223026765,35.288051349544794,5.940374680905641
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912562156929214,3.8974296649947244,35.28809018614856,5.94037794977294
"('Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912562139103492,3.897372862323317,35.28809738023846,5.940378555297504
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912561374260591,3.8969587240719386,35.288406054884575,5.940404536299239
"('Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912560237983282,3.896826560657847,35.28886463271247,5.9404431343724236
"('Linear_Regression', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912559558627868,3.896794923426086,35.28913880639162,5.940466211198547
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912559310649882,3.8993142925261393,35.28923888513549,5.940474634668133
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912558149545708,3.899276425211608,35.289707482568815,5.940514075614064
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912558020636572,3.8991488634070337,35.28975950760833,5.940518454445566
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912558001066396,3.8990802721811386,35.28976740572272,5.94051911921195
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912557121798931,3.898644534572696,35.290122259737245,5.940548986393197
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912555522393932,3.8983745952117097,35.29076774624322,5.940603315004564
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912554593341403,3.8983123356957075,35.29114269247129,5.940634872845771
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912548678126379,3.8987548580804923,35.29352994990941,5.940835795568618
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991254744849536,3.8985929785166906,35.29402620334791,5.940877561719978
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912547423192332,3.8987022591599434,35.294036415122655,5.940878421169941
"('Lasso_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912547418066948,3.8986698688793293,35.294038483620554,5.940878595260179
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912547295648394,3.8982917048945103,35.29408788919626,5.940882753362185
"('Ridge_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912545822937755,3.898018002344789,35.29468224450098,5.940932775625472
"('Linear_Regression', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912544922978227,3.897946057731964,35.29504544940018,5.940963343549611
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912523222809203,3.897194756555341,35.303803185120316,5.941700361438661
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991252263187054,3.89713744451555,35.30404167564295,5.941720430619649
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912522413934695,3.897039688097986,35.30412963000512,5.941727832037169
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912522168266645,3.896840874802058,35.30422877650717,5.94173617526958
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912519660739265,3.8964133248816104,35.30524076227016,5.941821333755346
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912518530086577,3.896199059696366,35.305697070118434,5.941859731609156
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912517712333927,3.8961240248186453,35.3060270980359,5.9418875029771385
"('Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912512653846057,3.8979529212043,35.30806859825939,5.942059289359152
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912512130688583,3.896459146594876,35.30827973370685,5.942077055517443
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912511480567633,3.8963981448088854,35.30854210896582,5.942099133215956
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912511378135831,3.896323246870288,35.30858344830512,5.942102611728034
"('Lasso_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912511344181112,3.8962586893777007,35.308597151721926,5.942103764806024
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991250962070989,3.895895256752497,35.30929270876873,5.942162292361992
"('Ridge_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991250860534046,3.8957094289734573,35.309702490697966,5.942196773138531
"('Linear_Regression', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991250782247075,3.895650762237822,35.31001844058855,5.942223358355738
"('XGBoost', 'Support_Vector_Regressor', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912503488553395,3.8975574753471216,35.311767519260734,5.942370530290141
"('Random_Forest', 'XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912471518063952,3.8997506109126796,35.324670142142445,5.943456077245162
"('XGBoost', 'KNN_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912461144686366,3.8993782602590774,35.32885662102761,5.943808259106918
"('Random_Forest', 'XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912436353912444,3.896952348264585,35.33886166043914,5.944649834972548
"('XGBoost', 'Support_Vector_Regressor', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912426075679398,3.8965557729565137,35.343009740971866,5.944998716650145
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912396498308429,3.899422239459139,35.35494655113967,5.946002569049199
"('Lasso_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912394482480762,3.8992256718428484,35.355760097151645,5.94607097982791
"('Linear_Regression', 'Lasso_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912394207124673,3.899355718283815,35.355871225127665,5.9460803244765925
"('Lasso_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912394138891003,3.899480901819378,35.3558987628138,5.946082640092871
"('Linear_Regression', 'Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991239304546438,3.8987824507777384,35.35634004699838,5.946119747112261
"('Ridge_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912390539298325,3.8985321460836895,35.35735148335907,5.94620479662104
"('Linear_Regression', 'Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912388342880125,3.8984493281181845,35.35823791194413,5.9462793334945285
"('Linear_Regression', 'Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991238087475315,3.8988524645773612,35.3612518922639,5.946532762229087
"('Lasso_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.991237893748654,3.8985557471338015,35.36203373267116,5.946598501048407
"('Linear_Regression', 'Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912378637422591,3.898480245573292,35.362154832224384,5.9466086832937295
"('Linear_Regression', 'Lasso_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912378400904082,3.89862328994949,35.3622502861627,5.946616709202191
"('Lasso_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912377968388478,3.898859729409355,35.362424840440994,5.946631385956338
"('Ridge_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912376309073471,3.898119741919633,35.363094505377646,5.946687691932177
"('Linear_Regression', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9912374156281542,3.8980054075926738,35.36396332730972,5.94676074239663
"('Random_Forest', 'XGBoost', 'Gradient_Boosting', 'CatBoost', 'LightGBM')",0.9911991589821748,3.9036526117769257,35.51835917310453,5.959728112347452
